x,y
5.563338930945233685e+00,4.592027245282277903e+00
5.510474638794661928e+00,4.588252093646243424e+00
5.461142680508106473e+00,4.600199339298572276e+00
5.359478417040304699e+00,4.606698204506229466e+00
5.309197506393255495e+00,4.612062003977498215e+00
5.257790914957078066e+00,4.607607044643948768e+00
5.208191070632792297e+00,4.617156416486730919e+00
5.107648031291563306e+00,4.623690530166766344e+00
5.057382252853621196e+00,4.626637783255522329e+00
5.006975550581463708e+00,4.625708880907733800e+00
4.805141969806689950e+00,4.643189440084660724e+00
4.754856230466126377e+00,4.635861678225477789e+00
4.770547242649585407e+00,3.334791301171444289e+00
4.549622246380850221e+00,4.649494643236517177e+00
4.496866108397519213e+00,4.657547654330925546e+00
4.393191560155832676e+00,4.654024629293099125e+00
4.337673118927011906e+00,4.669026951465484743e+00
4.286523020880395052e+00,4.659506934580384119e+00
4.172979605415821247e+00,4.684329167826615681e+00
4.119969069410334583e+00,4.677712066747382380e+00
4.686668480182689223e+00,2.136092889588982580e+00
4.646484766406030253e+00,2.139170048369911648e+00
4.588546653544828935e+00,2.144632318656832126e+00
4.397356626946842262e+00,2.161159797935618077e+00
4.323613379038984128e+00,2.171642231581061289e+00
4.290002112568116921e+00,2.179567982851257746e+00
4.244142008539310673e+00,2.177611622903679933e+00
4.153047330947337024e+00,2.181804746579994347e+00
4.103503433011752577e+00,2.191628837739133306e+00
4.053397797377324530e+00,2.199849512202417756e+00
3.929157810510131910e+00,2.201281419820447560e+00
3.567763408740264541e+00,2.178779798447029847e+00
2.676346012739757807e+00,-7.521905067465664008e-01
2.868460970335142246e+00,-7.934377672898260681e-01
3.034479445617581206e+00,-7.616484247342392155e-01
3.179396179166976921e+00,-8.399523889139624000e-01
6.172206591237669571e+00,2.694905934741214537e+00
7.376251141242475384e+00,4.482214696248458807e+00
6.859890467990828355e+00,4.526792132988486372e+00
6.742062341132601944e+00,4.562821083111627374e+00
6.683091329295224980e+00,4.579033454539394477e+00
6.600430909748966180e+00,4.554615606437115716e+00
6.407962958760014871e+00,4.557800200353359976e+00
6.346413198918781973e+00,4.559389767664756121e+00
6.277379502499128350e+00,4.543514663230118877e+00
6.173231683696890570e+00,4.576609582636835150e+00
5.997225912109242607e+00,4.570489591719875122e+00
5.890515446643941111e+00,4.584833134529691101e+00
5.823222747481746175e+00,4.547233513653006653e+00
5.625132386855928424e+00,4.601910898173525055e+00
5.416388997349116607e+00,4.600259493736619909e+00
5.165031436625246997e+00,4.625236574039263360e+00
4.963448639040013433e+00,4.627752449945054636e+00
4.913150294328495704e+00,4.630180914346006205e+00
4.711134524348560504e+00,4.635083790786917568e+00
4.659960787586484798e+00,4.640073206760957802e+00
4.454012048950438007e+00,4.644949576135161351e+00
4.400883737499247772e+00,4.651256105611850877e+00
4.242566920459383439e+00,4.650637025557568194e+00
4.024920604601700980e+00,4.651248124242572501e+00
4.498180586639636047e+00,2.828113349570377633e+00
4.164193911056772279e+00,3.428774160336440779e+00
3.983793541044470921e+00,2.179591846733495153e+00
-3.218226943019874220e+00,1.460494955114826521e+00
2.760314500159239071e+00,-8.212865614791151625e-01
2.844458727220100069e+00,-8.102869923697928467e-01
2.951784919930190654e+00,-8.585816809518613812e-01
3.346528812158480193e+00,-8.633655946640008683e-01
3.560514968988921503e+00,-9.110850042711560182e-01
3.879356267065147357e+00,-9.502167425958523150e-01
6.476933207196806208e+00,2.093564250093827184e+00
6.378276699589433996e+00,2.098314440946719817e+00
4.624398871718356396e+00,2.261440560343650485e+00
4.625099238053171469e+00,2.239878850249621411e+00
4.589039218570881928e+00,2.239658246488100080e+00
4.495686078106732708e+00,2.254865009677679666e+00
4.474802193290069674e+00,2.243531467367761767e+00
4.432116604188228060e+00,2.254518200278051054e+00
4.398877858845121835e+00,2.252612590388265001e+00
